homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Arsenal,2,Middlesbrough,1,r99cBO9FTMw,4/17/17,Arsenal get past Middlesbrough for 2-1 win
Chelsea,0,Manchester United,2,nLVz-8RwGDU,4/16/17,Chelsea fall to Manchester United as title race gets tighter
Liverpool,1,West Brom,0,NObzadtdaRI,4/16/17,Liverpool get past West Brom in 1-0 win
Chelsea,0,Manchester United,2,hdOHbXEm8dk,4/16/17,Rashford provides breakthrough for Man United against Chelsea
Manchester City,3,Southampton,0,X4jrmYR6CsA,4/15/17,Man City beat Southampton to move into third
West Ham,2,Sunderland,2,3V19pVRu5N4,4/15/17,Sunderland salvage draw against West Ham
Stoke City,3,Hull City,1,SjZsL8-hdX4,4/15/17,Stoke City too much for Hull City in 3-1 win
Watford,1,Swansea City,0,CbYQ12geHQ8,4/15/17,Etienne Capoue helps Watford to win over Swansea
Everton,3,Burnley,1,NUvcZsMxrzk,4/15/17,Barkley  Lukaku secure Everton win over Burnley
Leicester City,2,Crystal Palace,2,HSaWJNPusGQ,4/15/17,Palace come back to earn draw with Leicester
Stoke City,3,Hull City,1,SjZsL8-hdX4,4/15/17,"Stoke City got goals from three different players, including a stunning strike from Xeherdan Shaqiri as they topped Hull City 3-1 on Matchday 33."
Tottenham,4,Bournemouth,0,FWlQ6KRC87s,4/15/17,Tottenham dominate Bournemouth in 4-0 win
Arsenal,0,Crystal Palace,3,RmYaZiyngs0,4/10/17,Crystal Palace embarrasses Arsenal
Everton,4,Leicester City,2,QFs6UE6QxQk,4/9/17,Lukaku doubles to lead Everton past Leicester
Manchester United,3,Sunderland,0,WRo3IwRfsbg,4/9/17,Man United handle 10-man Sunderland in 3-0 win
Tottenham,4,Watford,0,KPzaqA2ImNI,4/8/17,Tottenham score four goals in Watford blowout
Manchester City,3,Hull City,1,vKu20kVewJs,4/8/17,Man City dominate Hull City in 3-1 win
West Ham,1,Swansea City,0,uIWhg4Wmdl0,4/8/17,West Ham  Cheikhou Kouyate top Swansea City
Chelsea,3,Bournemouth,1,KTvYPMDL134,4/8/17,Chelsea cruise past Bournemouth to hold title lead
Burnley,0,Middlesbrough,0,YqzBkho0XGM,4/8/17,Burnley holds Middlesbrough to draw
Liverpool,2,Stoke City,1,Cz98yPXwf_o,4/8/17,Liverpool comeback to beat Stoke City
West Brom,0,Southampton,1,rRp3jy3UUy0,4/8/17,Southampton clip West Brom Albion in 1-0 win
Tottenham,3,Swansea City,1,jN1nMDC1g38,4/5/17,Tottenham leave it late  top Swansea City 3-1
Southampton,3,Crystal Palace,1,Cf6o5KVThSA,4/5/17,Southampton comeback to beat Crystal Palace
Liverpool,2,Bournemouth,2,krQLbmdb0Ew,4/5/17,Liverpool concede late to draw with Bournemouth
Hull City,4,Middlesbrough,2,yJnCY4tIG8o,4/5/17,Hull City outlast Middlesbrough in 4-2 win
Chelsea,2,Manchester City,1,B-dPaWw-4RY,4/5/17,Chelsea earn massive 2-1 win over Man City
Arsenal,3,West Ham,0,eA4mmJC_-sA,4/5/17,Arsenal complete 3-0 rout of West Ham
Manchester United,1,Everton,1,QbSLM-ZNhys,4/4/17,Late goal helps Man United draw with Everton
Leicester City,2,Sunderland,0,xb1ZN622beQ,4/4/17,Leicester top Sunderland  win fifth straight in PL
West Brom,0,Watford,2,wT0KcMZKpLc,4/4/17,Watford earn 2-0 victory over West Brom
Stoke City,0,Burnley,1,nDyq-__tBTA,4/4/17,Burnley clip Stoke City in 1-0 win
Manchester United,0,West Brom,0, -maeEHE2CRo,4/1/17,Manchester United held to draw v. West Brom
Leicester City,2,Stoke City,0,G324Cjs7mKQ,4/1/17,Leicester beat Stoke  get fourth straight PL win
West Ham,1,Hull City,2,5ilTukYuAq0,4/1/17,Robertson and Ranocchia rally Hull City for win over West Ham
Tottenham,2,Burnley,0,mRtE6i4hzH0,4/1/17,Tottenham leave it late  but top Burnley 2-0
Watford,1,Sunderland,0,Fg7gBRV-HmU,4/1/17,Watford clip Sunderland 1-0
Southampton,0,Bournemouth,0,1gCBfY5u0_Y,4/1/17,Southampton  Bournemouth draw 0-0
Chelsea,1,Crystal Palace,2,S4wM6k_GDSA,4/1/17,Crystal Palace stun Chelsea at Stamford Bridge
Liverpool,3,Everton,1,I05ckonGAA0,4/1/17,Liverpool maintain Merseyside Derby dominance over Everton
Liverpool,1,Manchester City,1, -lSYXFICjy0,3/19/17,Man City  Liverpool play to thrilling 1-1 draw
Manchester United,3,Middlesbrough,1,HYAnqREIb64,3/19/17,Manchester United hold on to beat Middlesbrough
Tottenham,2,Southampton,1,uUUNGKccBm4,3/19/17,Tottenham top Southampton 2-1 at White Hart Lane
Bournemouth,2,Swansea City,0,WRLLm8xUGv8,3/18/17,Bournemouth shut out Swansea 2-0
Everton,4,Hull City,0,FchHI5S2Gcs,3/18/17,Romelu Lukaku leads Everton rout of Hull City
Watford,0,Crystal Palace,1,-852pkbdKko,3/18/17,Troy Deeney's own goal gives Crystal Palace the win over Watford
Burnley,0,Sunderland,0,X1b1fSOagW4,3/18/17,Sunderland  Burnley play to scoreless draw
Arsenal,1,West Brom,3,rq1vuEisAm8,3/18/17,Arsenal fall to West Brom 3-1
Leicester City,3,West Ham,2,zzEUggLjOsQ,3/18/17,Leicester City stay hot with 3-2 win over West Ham
Chelsea,2,Stoke City,1,fMGUWddMCPM,3/18/17,Chelsea get past Stoke City with 2-1 victory
Liverpool,2,Burnley,1,Bc3WaUBORz4,3/12/17,Liverpool comeback to beat Burnley 2-1
Bournemouth,3,West Ham,2,GZ7YcYymbd0,3/11/17,Joshua King's hat-trick leads Bournemouth past West Ham
Hull City,2,Swansea City,1,hMC756JqPcg,3/11/17,Oumar Niasse's double helps Hull City beat Swansea
Everton,3,West Brom,0,J8Dx_nw0Vgs,3/11/17,Everton top West Brom in 3-0 blowout
Manchester City,0,Stoke City,0,gI4XKNSwq1I,3/8/17,Man City's missed chances lead to scoreless draw with Stoke
Chelsea,2,West Ham,1,iDFHuDTp24Y,3/6/17,Chelsea continue Premier League dominance defeating West Ham
Middlesbrough,0,Stoke City,2,LNioSO44hiI,3/4/17,Marko Arnautovic's two goals lifted Stoke City past Middlesbrough at the Bet 365 Stadium.
Sunderland,0,Manchester City,2,gkXR8No9t9o,3/5/17,Manchester City handle Sunderland 2-0
Tottenham,3,Everton,2,qVxnYmIitzE,3/5/17,Tottenham beat Everton 3-2 as Harry Kane dominates
Burnley,2,Swansea City,3,01j08KmeIyw,3/4/17,Llorente leads Swansea past Burnley
Leicester City,3,Hull City,1,70PWyDv93Bg,3/4/17,Leicester score three unanswered goals to top Hull
Liverpool,3,Arsenal,1,51woOX_Leog,3/4/17,Liverpool beat Arsenal  rise to third in PL table
Manchester United,1,Bournemouth,1,ItZknodKDNY,3/4/17,Bournemouth steals point from Old Trafford after 1-1 draw with Man United
Southampton,4,Watford,3,445nXqPTlJA,3/4/17,Southampton beat Watford in high-scoring affair at Vicarage Road
Liverpool,1,Leicester City,3,rSLhHJF6GAQ,2/27/17,Leicester get much needed win over Liverpool
Tottenham,4,Stoke City,0,N0u95WGdIac,2/26/17,Harry Kane secures hat-trick in Tottenham's win over Stoke
Crystal Palace,1,Middlesbrough,0,goDIIWLY_hs,2/25/17,"In an important match in the relegation battle, Crystal Palace earned the three points against Middlesbrough thanks to a goal from Patrick Van Aanholt."
Watford,1,West Ham,1,xWt39r61EK4,2/25/17,Watford  West Ham share points in 1-1 draw
Everton,2,Sunderland,0,JX2Gu7I5HQg,2/25/17,Everton beat Sunderland to stay red-hot
Burnley,1,Hull City,1,AXtT0CqfaCA,2/25/17,Hull City  Burnley exchange late goals in draw
Chelsea,3,Swansea City,1,4xLCJLTmp-c,2/25/17,Chelsea extend title lead with win over Swansea
West Brom,2,Bournemouth,1,_FgvmGbaiaA,2/25/17,West Brom top Bournemouth for 2-1 win
Liverpool,1,Leicester City,3,fPGPZntgdBU,2/27/17,Premier League preview: Leicester City v. Liverpool
Manchester City,2,Bournemouth,0,j-BYaUSUofY,2/13/17,Sterling  Aguero help Man City beat Bournemouth
Leicester City,0,Swansea City,2,qVelU-wyhvQ,2/12/17,Leicester struggles continue in loss to Swansea
Chelsea,1,Burnley,1,w-tMQiVbekI,2/12/17,Burnley  Chelsea play to hard-fought draw
Tottenham,0,Liverpool,2,gIOwOT4CJxM,2/11/17,Sadio Mane  Liverpool beat Tottenham 2-0
Southampton,4,Sunderland,0,OpUoRtgdasU,2/11/17,Southampton hammer Sunderland 4-0
Everton,0,Middlesbrough,0,ziY_yyWJOCw,2/11/17,Middlesbrough  Everton draw 0-0
Manchester United,2,Watford,0,7HUPB4oSJw0,2/11/17,Manchester United power past Watford in 2-0 win
West Brom,2,West Ham,2,x1AbhlEKaAQ,2/11/17,West Ham  West Brom play to thrilling 2-2 draw
